hand, slansky_chubukov_num
AA, 1000
KK, 953.9
AKs, 554.5
QQ, 478
AKo, 331.8
JJ, 319.2
AQs, 274.2
99, 191.4
AJs, 183.22
88, 159.3
ATs, 138.9
AJo, 136.3
77, 134.8
66, 115.4
ATo, 106.3
A9s, 104.1
55, 98.6
A8s, 89.9
KQs, 86.6
44, 81.9
A9o, 81.7
A7s, 79.2
KJs, 72.6
A5s, 72.3
A8o, 70.9
A6s, 70.7
A4s, 66.6
33, 65.4
KTs, 62.8
A7o, 62.7
A3s, 62.3
KQo, 58.8
A2s, 58.1
A5o, 56.5
A6o, 56.2
A4o, 51.9
KJo, 50.8
QJs, 49.5
A3o, 48.4
22, 48
K9s, 47.8
A2o, 45.2
KTo, 44.9
QTs, 43.8
K8s, 39.9
K7s, 37.3
JTs, 36.1
K9o, 35.8
K6s, 34.9
QJo, 32.8
Q9s, 32.5
K5s, 32.3
K8o, 30.47
K4s, 30.2
QTo, 29.7
K7o, 28.5
K3s, 28.4
K2s, 26.7
Q8s, 26.7
K6o, 26.7
J9s, 25.7
K5o, 24.7
Q9o, 23.4
JTo, 23.1
K4o, 22.8
Q7s, 22.68
T9s, 22.5
Q6s, 21.8
K3o, 21.4
J8s, 20.6
Q5s, 20.3
K2o, 20
Q8o, 19.8
Q4s, 18.9
J9o, 17.8
Q3s, 17.7
T8s, 17.5
J7s, 17.2
Q7o, 17
Q2s, 16.6
Q6o, 16.3
98s, 15.3
Q5o, 15
J8o, 14.9
T9o, 14.8
J6s, 14.71
T7s, 14.2
J5s, 14
Q4o, 13.7
J4s, 13
J7o, 12.7
Q3o, 12.5
97s, 12.3
T8o, 12.2
J3s, 12
T6s, 11.9
Q2o, 11.3
J2s, 11.1
87s, 11.1
J6o, 10.8
98o, 10.3
T7o, 10.2
96s, 10.1
J5o, 10
T5s, 9.9
T4s, 9.3
86s, 9
J4o, 8.9
T6o, 8.6
97o, 8.6
T3s, 8.4
76s, 8.3
95s, 8.3
J3o, 7.9
T2s, 7.5
87o, 7.5
85s, 7.2
96o, 7.1
T5o, 6.9
J2o, 6.9
75s, 6.6
94s, 6.6
T4o, 6.2
65s, 6.2
86o, 6.1
93s, 6.1
84s, 5.7
95o, 5.7
T3o, 5.5
76o, 5.4
92s, 5.4
74s, 5.1
54s, 4.9
T2o, 4.8
85o, 4.8
64s, 4.8
83s, 4.46
94o, 4.3
75o, 4.3
82s, 4.1
73s, 4
93o, 4
65o, 4
53s, 3.9
63s, 3.8
84o, 3.7
92o, 3.6
43s, 3.4
74o, 3.4
72s, 3.2
54o, 3.2
64o, 3.2
52s, 3.1
62s, 3
83o, 3
42s, 2.8
82o, 2.8
73o, 2.73
53o, 2.6
63o, 2.6
32s, 2.6
43o, 2.36
72o, 2.2
52o, 2.2
62o, 2.1
42o, 2
32o, 1.8


